106	850
105	852
45	854
19	857
20	860

106	870
105	872
45	874
19	877
20	880

106	890
105	892
45	894
19	897
20	900

106	910
105	912
45	914
19	917
20	920

106	930
105	932
45	934
19	937
20	940

106	950
105	952
45	954
19	957
20	960

20	842
115	844
17	846
16	848
15	850
21	853

20	862
115	864
17	866
16	868
15	870
21	873

20	882
115	884
17	886
16	888
15	890
21	893

20	902
115	904
17	906
16	908
15	910
21	913

20	922
115	924
17	926
16	928
15	930
21	933

20	942
115	944
17	946
16	948
15	950
21	953

21	844
47	846
46	848
44	850
43	852
42	854

21	854
47	856
46	858
44	860
43	862
42	864

21	864
47	866
46	868
44	870
43	872
42	874

21	874
47	876
46	878
44	880
43	882
42	884

21	884
47	886
46	888
44	890
43	892
42	894

21	894
47	896
46	898
44	900
43	902
42	904

21	904
47	906
46	908
44	910
43	912
42	914

21	914
47	916
46	918
44	920
43	922
42	924

21	924
47	926
46	928
44	930
43	932
42	934

21	934
47	936
46	938
44	940
43	942
42	944

21	944
47	946
46	948
44	950
43	952
42	954

21	954
47	956
46	958
44	960
43	962
42	964

42	845
11	848
11	848

42	855
11	858
11	858

42	865
11	868
11	868

42	875
11	878
11	878

42	885
11	888
11	888

42	895
11	898
11	898

42	905
11	908
11	908

42	915
11	918
11	918

42	925
11	928
11	928

42	935
11	938
11	938

42	945
11	948
11	948

42	955
11	958
11	958

104	841
103	844
102	846
101	851
100	853
99	855
98	860
97	863

104	851
103	854
102	856
101	861
100	863
99	865
98	870
97	873

104	861
103	864
102	866
101	871
100	873
99	875
98	880
97	883

104	871
103	874
102	876
101	881
100	883
99	885
98	890
97	893

104	881
103	884
102	886
101	891
100	893
99	895
98	900
97	903

104	891
103	894
102	896
101	901
100	903
99	905
98	910
97	913

104	901
103	904
102	906
101	911
100	913
99	915
98	920
97	923

104	911
103	914
102	916
101	921
100	923
99	925
98	930
97	933

104	921
103	924
102	926
101	931
100	933
99	935
98	940
97	943

104	931
103	934
102	936
101	941
100	943
99	945
98	950
97	953

104	941
103	944
102	946
101	951
100	953
99	955
98	960
97	963

104	951
103	954
102	956
101	961
100	963
99	965
98	970
97	973

97	864
114	867
113	870
112	876
111	879
110	884
109	888
108	891
107	897

97	894
114	897
113	900
112	906
111	909
110	914
109	918
108	921
107	927

97	924
114	927
113	930
112	936
111	939
110	944
109	948
108	951
107	957

97	954
114	957
113	960
112	966
111	969
110	974
109	978
108	981
107	987

