0	21,192,20,192,20,191,19,192,19,193,21,193
1	17,191,14,191,14,192,17,192
62	20,191,19,191,19,192
97	25,199,27,199,28,198,25,199,24,199,24,200,25,200
98	25,199,24,199,24,200,25,200
896	45,197,44,197,47,198
1237	43,195,42,195,42,196,43,196
1455	31,191,30,191,30,192,31,192
2528	2,195,3,195,3,194,3,193,3,192,2,192,2,191,0,191,0,192,0,195,1,195,1,196
2729	25,190,24,190,24,191,25,191
3288	37,187,38,187,38,186,37,185,36,185,36,184,35,183,35,182,34,182,34,183,35,183,34,184,35,184,35,185,36,186,36,187,35,187,35,188,37,188
3378	47,189,46,189,46,190,47,190
5630	25,183,22,183,22,184,23,184
5630	26,182,25,183,26,183
5630	26,181,25,181,25,180,24,180,25,181,25,182
