4544	16,221,16,213,18,209,20,206,13,197,12,191,8,190,4,189,5,194,3,195,2,192,0,192,0,209,1,210,3,211,7,207,9,207,8,210,7,213,7,216,11,217,12,220,14,222
4546	13,168,12,167,7,164,4,163,1,162,0,162,0,165,9,167,9,168,11,169,12,169
4594	105,159,107,157,106,155,107,150,107,148,108,147,112,148,115,149,116,148,118,148,123,149,128,149,128,147,127,145,128,145,128,143,134,143,135,142,135,138,134,137,132,136,134,133,132,133,125,140,123,141,118,143,111,143,109,141,108,143,109,144,105,143,102,146,101,148,98,152,98,153,97,156,105,161
4595	30,175,31,175,31,174,32,174,32,173,32,172,32,171,33,171,33,172,35,172,34,171,34,170,35,169,34,169,35,168,31,168,30,169,30,167,29,167,29,169,26,169,26,170,26,171,25,171,25,173,26,173,28,175,28,176,30,176
4596	71,107,76,107,76,106,76,105,75,104,74,104,73,103,72,102,70,102,69,101,66,101,65,102,65,103,66,103,66,104,67,104,68,105,69,106,69,107,69,108,70,107,70,108,71,108
4597	60,81,59,80,57,81,56,80,55,80,55,79,54,78,54,77,52,77,51,76,50,78,51,79,53,79,53,80,52,81,53,81,55,83,57,83
4598	63,101,62,100,62,98,62,97,62,96,61,95,60,94,59,93,58,92,57,93,57,94,58,95,59,95,59,96,60,96,60,98,60,99,59,99,59,100,60,100,60,101,61,100,61,101,60,101,60,102,63,102
4599	80,137,79,136,78,134,77,134,77,133,75,133,75,132,74,132,73,131,72,130,72,131,72,132,72,133,73,133,73,134,75,134,75,135,76,135,76,136,76,137,77,137,77,138,79,138
4600	106,247,107,247,107,246,107,245,106,244,106,243,105,243,105,244,101,244,101,245,102,245,103,246,103,247,104,246,104,247,104,248,106,248
4600	105,245,105,244,106,244
4601	9,109,10,108,10,107,11,106,11,105,10,105,9,104,8,104,8,105,8,107,8,108,7,109,8,110
4602	124,154,115,154,116,155,124,156
4603	38,237,39,237,39,236,40,236,41,235,42,234,42,233,40,233,39,234,38,234,38,235,35,235,35,236,37,236,37,237,38,237,38,238,39,238
4604	95,236,96,236,96,235,97,234,94,234,94,233,93,233,93,234,93,235,92,236,93,236,94,237,95,237
4605	32,108,21,108,21,109,32,109
4606	100,224,100,225,101,225
4606	104,224,105,224,105,222,103,222,102,224,102,225,104,225
4607	26,194,25,194,25,195,25,196,24,196,24,197,23,198,25,198,26,199
4608	6,223,4,221,3,221,4,220,1,220,3,223,3,224,4,224,5,223,6,224
4609	131,174,127,174,127,176,131,176
4610	51,120,53,120,53,119,53,118,52,118,52,119,50,119,50,120,49,121,51,121
4611	82,242,83,242,83,241,79,241,80,242,79,243,82,243
4612	169,212,170,212,170,211,171,211,172,210,171,209,170,209,170,210,170,211,169,211,168,212,169,213
4613	93,135,89,135,89,136,93,136
4614	108,233,106,231,105,232,106,233,108,235
4615	61,135,60,136,62,137,63,137
4616	12,171,11,170,9,171,9,172,12,172
4617	147,196,146,197,147,197
4617	146,196,145,196,146,195,145,195,145,196,144,197,146,197
4618	48,202,46,202,48,204,49,204
4619	76,239,76,238,74,238,74,239,75,239,75,240,76,240
4620	59,201,60,200,58,200,58,201,58,202,59,202
4621	35,216,34,216,32,217,33,217
4621	32,216,31,216,32,217
4621	36,215,35,215,35,216,36,216
4622	158,250,159,250,159,249,158,249,158,250,157,250,157,251,158,251
4622	157,249,156,249,156,250,157,250
4623	188,202,188,201,187,201,187,202,187,203,188,203
4624	92,144,89,144,89,145,92,145
4625	90,157,89,157,89,158,90,158
4626	70,172,70,171,69,171,69,172,70,173
4627	24,196,22,196,22,197,24,197
4628	99,220,99,219,95,221,96,221
4629	153,187,152,187,153,188
4629	151,186,150,187,152,187
4630	15,198,14,197,14,198,18,200
4631	54,117,54,116,53,117,53,118,54,118
4632	92,179,92,178,91,178,92,180
4632	91,177,91,178,91,178
4633	39,173,36,173,36,174
4634	172,207,171,207,171,208,172,208
4635	83,149,83,148,82,148,82,149,82,150,84,150
4636	157,245,156,245,154,247
4637	76,238,75,238,75,239,76,239
4638	104,225,103,225,103,226,104,226
4639	105,225,104,225,104,226,105,226
4640	35,142,34,143,35,143
4641	38,137,37,137,37,138
4643	97,233,96,233,97,234
4646	38,237,37,237,38,238
